Recipe number;S(1)-M(0)-L(2);Beverage;Counter 1;Counter 2;Counter 3;Counter 4
150;0;Decaf  M;78;78;78;78;
151;0;Decaf L;114;114;114;114;
157;0;Extra Shot S;230;230;230;230;
159;0;Cappuccino L;15;15;15;15;
135;0;Iced Macchiato S;57;57;57;57;
137;0;Iced Macchiato L;60;60;60;60;
146;0;Cappuccino M;27;27;27;27;
136;0;Iced Macchiato M;65;65;65;65;
84;0;Macchiato L;16;16;16;16;
83;0;Macchiato M;26;26;26;26;
145;0;Cappuccino S;38;38;38;38;
149;0;Decaf S;61;61;61;61;
2;0;2 Espresso;1;1;1;1;
5;0;Decaf L;5;5;5;5;
27;0;Americano S;29;29;29;29;
29;0;Americano L;11;11;11;11;
131;0;Iced Mocha M;45;45;45;45;
122;0;Iced Latte S;20;20;20;20;
42;0;Mocha S;34;34;34;34;
43;0;Mocha M;51;51;51;51;
130;0;Iced Mocha S;32;32;32;32;
28;0;Americano M;30;30;30;30;
38;0;Iced Latte L;23;23;23;23;
158;0;Mocha L;34;34;34;34;
123;0;Iced Latte M;45;45;45;45;
45;0;Iced Mocha L;40;40;40;40;
82;0;Macchiato S;16;16;16;16;
36;0;Latte S;60;60;60;60;
37;0;Latte M;78;78;78;78;
143;0;Latte L;62;62;62;62;
88;0;Cappuccino;1;1;1;1;
1;0;Espresso;2;2;2;2;
111;0;Espresso Macchiato;1;1;1;1;
153;0;Freshly filtered coffee;1;1;1;1;
167;0;Iced Coffee S;154;154;154;154;
169;0;Iced Coffee L;318;318;318;318;
168;0;Iced Coffee M;417;417;417;417;
31;0;Hei�wasser;17;17;17;17;
92;0;Latte Macchiato;1;1;1;1;
162;0;Hot Chocolate S;39;39;39;39;
94;0;Milk;4;4;4;4;
163;0;Hot Chocolate M;36;36;36;36;
164;0;Hot Chocolate L;24;24;24;24;
91;0;Caffè Latte;1;1;1;1;
93;0;Milk foam;1;1;1;1;
